n,m,dist,trial,normal_compress,normal_compress_cpu,normal_decompress,normal_decompress_cpu,safe_partition,safe_partition_cpu,safe_compress,safe_compress_cpu,safe_decompress,safe_decompress_cpu,baseline_cpu
10,300,even,9,0.004197041998850182,0.0,0.0002373750030528754,0.0,0.1302416670077946,14.4,0.005264875013381243,0.0,0.002255999977933243,0.0,1.9
10,600,even,0,0.025969041016651317,20.0,0.0005911660264246166,0.0,0.2598791659984272,13.6,0.009445875009987503,12.5,0.004356291989097372,0.0,8.7
10,600,even,1,0.016233708010986447,7.1,0.0004442910139914602,0.0,0.2603007500001695,12.6,0.009128875011811033,14.3,0.0041393339924979955,0.0,2.5
10,600,even,2,0.012352874997304752,30.0,0.00043595899478532374,0.0,0.25957733299583197,0.0,0.008977915975265205,0.0,0.004137708019698039,0.0,1.9
10,600,even,3,0.010131083021406084,12.5,0.00042483300785534084,0.0,0.25993341600405984,0.0,0.008890416007488966,22.2,0.004117292002774775,0.0,1.4
10,600,even,4,0.00918466699658893,12.5,0.00044845801312476397,0.0,0.26015916699543595,14.6,0.009026874991832301,33.3,0.004112665978027508,0.0,1.8
10,600,even,5,0.007839541009161621,0.0,0.00040912500116974115,0.0,0.2595556669984944,13.5,0.008902292000129819,0.0,0.004122291982639581,0.0,11.7
10,600,even,6,0.007500250008888543,0.0,0.0004234160005580634,0.0,0.2599567500001285,14.0,0.008907292009098455,0.0,0.004146874998696148,0.0,2.9
10,600,even,7,0.0067059589782729745,0.0,0.0004108330176677555,0.0,0.26017991700791754,13.5,0.008880209003109485,0.0,0.004122916026972234,0.0,1.7
10,600,even,8,0.00629866702365689,0.0,0.00042266701348125935,0.0,0.25989533300162293,13.9,0.00884466600837186,0.0,0.00410979098523967,0.0,2.0
10,600,even,9,0.006326540984446183,0.0,0.0004332910175435245,0.0,0.25955704200896434,13.2,0.008909666998079047,0.0,0.004135916009545326,0.0,1.8
10,1200,even,0,0.027838417008752003,16.7,0.0011161250004079193,0.0,0.5286634580115788,15.0,0.02128041602554731,11.8,0.008643334003863856,0.0,3.0
10,1200,even,1,0.017503665992990136,6.7,0.0008919579850044101,0.0,0.5254852499929257,12.9,0.02041129200370051,17.6,0.008169000007910654,0.0,2.0
10,1200,even,2,0.01525491601205431,23.1,0.0008881670073606074,0.0,0.5248974580026697,13.1,0.018406499992124736,0.0,0.008135040989145637,0.0,1.9
10,1200,even,3,0.01409445799072273,8.3,0.0008612919773440808,0.0,0.5248737089859787,13.3,0.01823099999455735,0.0,0.008154166978783906,0.0,2.5
10,1200,even,4,0.013326542015420273,22.2,0.0008530000050086528,0.0,0.5240967079880647,13.2,0.018631125014508143,0.0,0.00818970799446106,0.0,2.0
10,1200,even,5,0.01339520898181945,9.1,0.0008609170035924762,0.0,0.5273452499823179,13.0,0.018447792012011632,0.0,0.008194042020477355,0.0,1.7
10,1200,even,6,0.013776249979855493,8.3,0.000883875007275492,0.0,0.5262589160120115,13.5,0.018538500007707626,0.0,0.008241958013968542,0.0,1.6
10,1200,even,7,0.013560374994995072,0.0,0.0008609580108895898,0.0,0.5264125829853583,13.8,0.018511250003939494,0.0,0.008217458002036437,0.0,1.5
10,1200,even,8,0.013391999993473291,0.0,0.0008482499979436398,0.0,0.5254604169749655,13.6,0.018565042002592236,0.0,0.008154040988301858,0.0,1.5
10,1200,even,9,0.013749542005825788,0.0,0.0008830830047372729,0.0,0.5249988329887856,13.1,0.019288542011054233,0.0,0.008180250006262213,0.0,1.8
