n,m,dist,trial,normal_compress,normal_compress_cpu,normal_decompress,normal_decompress_cpu,safe_partition,safe_partition_cpu,safe_compress,safe_compress_cpu,safe_decompress,safe_decompress_cpu,baseline_cpu
100,50000,even,6,0.24699416701332666,13.9,0.016729374998249114,0.0,0.412315249996027,13.3,0.33688633400015533,14.3,0.1117998750123661,0.0,2.1
100,50000,even,7,0.24663516599684954,13.8,0.01672654101275839,0.0,0.41064958402421325,12.6,0.3343273749924265,14.1,0.10730983299436048,0.0,1.6
100,50000,even,8,0.24830137501703575,13.5,0.01684912497876212,0.0,0.4104034999909345,15.1,0.33393883300595917,13.1,0.10741316698840819,0.0,2.2
100,50000,even,9,0.24664329100050963,0.0,0.01679399999557063,0.0,0.41069099999731407,13.7,0.3369478750100825,12.4,0.10741299999062903,0.0,1.8
100,100000,even,0,0.5135254999913741,14.0,0.03554212499875575,19.4,0.8117486660194118,17.7,0.7159541250148322,12.4,0.21059925001463853,13.5,5.4
100,100000,even,1,0.48936791700543836,13.4,0.034060959005728364,14.3,0.8145403329981491,13.8,0.7166755829821341,13.9,0.21400729101151228,13.4,5.3
100,100000,even,2,0.4893415829865262,13.5,0.033826083003077656,11.5,0.8108762920019217,13.2,0.7022182080254424,0.0,0.2136614170158282,13.4,2.7
100,100000,even,3,0.49012370899436064,13.8,0.03388166698277928,0.0,0.8112949159985874,13.4,0.6896659170161001,13.6,0.21639591600978747,12.8,1.5
100,100000,even,4,0.4899680420057848,13.5,0.03392812501988374,0.0,0.8163985419960227,14.4,0.6947234160033986,13.6,0.21455329199670814,14.0,1.5
100,100000,even,5,0.49053533299593255,13.7,0.034604416985530406,0.0,0.8127102919970639,12.9,0.7027547500038054,13.0,0.21619687500060536,13.4,2.0
100,100000,even,6,0.4839697499992326,13.0,0.03386920798220672,0.0,0.8133012920152396,13.3,0.714239083987195,14.0,0.22420799999963492,16.9,1.5
100,100000,even,7,0.4855244169884827,15.3,0.0337641249934677,0.0,0.8097795420035254,13.6,0.6955062919878401,13.5,0.21885987499263138,14.5,1.6
100,100000,even,8,0.4915918330079876,13.3,0.03362637499230914,0.0,0.8069339169887826,13.0,0.6898539169924334,13.3,0.21421379200182855,0.0,2.4
100,100000,even,9,0.48857358400709927,13.2,0.03348174999700859,0.0,0.8143813339993358,13.7,0.6923405840061605,13.4,0.21647687497898005,0.0,2.5
100,200000,even,0,1.0121643750171643,17.4,0.07418995798798278,21.0,1.6531648749951273,16.7,1.5637946250208188,14.8,0.4288895420031622,14.3,4.2
100,200000,even,1,0.9782300830120221,13.4,0.07137687498470768,14.3,1.6561035830236506,14.0,1.5376932919898536,13.6,0.4347844159929082,0.0,2.4
100,200000,even,2,0.9774795419943985,13.1,0.06866737501695752,14.5,1.6322493750194553,13.2,1.5049348750035278,14.8,0.4314028339867946,13.3,1.2
100,200000,even,3,0.9775055420177523,13.4,0.0685919169918634,11.1,1.6513068339845631,14.0,1.561084209010005,15.1,0.43308129100478254,13.1,3.1
100,200000,even,4,0.9782577499863692,13.6,0.06853449999471195,0.0,1.6578090000257362,13.4,1.4929729579889681,13.5,0.4320307500020135,0.0,1.7
100,200000,even,5,0.9769765420060139,13.2,0.07002787501551211,0.0,1.643470459006494,13.3,1.5380327919847332,13.2,0.44077812499017455,13.5,1.5
100,200000,even,6,0.9787147080060095,13.2,0.06988587498199195,20.4,1.6401689579943195,13.5,1.5322806669864804,13.3,0.44291554199298844,13.5,1.6
100,200000,even,7,0.9866298340202775,13.1,0.06918733299244195,14.0,1.6535260000091512,13.5,1.5261531669821125,14.9,0.4397765839821659,12.9,2.3
100,200000,even,8,0.9709371670032851,13.0,0.06940812498214655,14.0,1.6560720829875208,13.3,1.524013833986828,13.6,0.439775083999848,13.3,1.5
100,200000,even,9,0.9781133750220761,13.6,0.06867350000538863,0.0,1.6605070829973556,13.2,1.5414589589927346,13.2,0.4315457919728942,13.0,4.0
100,400000,even,0,2.010054417012725,15.3,0.13710845899186097,13.6,3.3628949580015615,14.2,4.497192583978176,14.0,0.8596892920031678,13.3,15.0
100,400000,even,1,1.9691432079998776,13.6,0.13742174999788404,12.6,3.360659666999709,13.4,4.559582500020042,13.7,0.8685927499900572,13.7,1.7
100,400000,even,2,1.9678043750172947,15.2,0.13667679199716076,13.1,3.37419908400625,13.8,4.541134333005175,13.4,0.8753511249960866,13.4,1.5
100,400000,even,3,1.955683540989412,13.3,0.13738045800710097,15.2,3.3816188750206493,13.7,4.588037584006088,13.7,0.87298308298341,13.7,1.7
100,400000,even,4,1.9388118750066496,13.1,0.1367623330152128,0.0,3.4081247090070974,13.5,4.534438208997017,13.9,0.8764185829786584,13.7,3.3
100,400000,even,5,1.9562108750105835,13.4,0.13717304202145897,0.0,3.401395374996355,13.3,4.530768917000387,13.3,0.8674791659868788,15.5,1.6
100,400000,even,6,1.960098499985179,14.2,0.13697758401394822,0.0,3.4251895000052173,13.7,4.539033540990204,13.3,0.8737919999985024,13.8,2.2
100,400000,even,7,1.9435051250038669,13.2,0.13713387498864904,13.2,3.4156074589991476,14.1,4.600384874996962,17.2,0.8625248330063187,14.5,1.3
100,400000,even,8,1.957062290981412,13.5,0.1373502080095932,12.8,3.4094308750063647,13.3,4.517524708004203,13.2,0.8769795419939328,13.2,1.9
100,400000,even,9,1.957838875008747,14.5,0.13683837500866503,13.0,3.4195078749908134,14.0,4.596833540999796,13.7,0.8702847080130596,12.8,1.5
